This log file has 2520 entries
 Make      Color    Plate    YYYY MM DD hr min sec
 Volvo     White    CLHJ-917 2021  2 24 11 39 40
 Toyota    Red      BWFJ-393 2021  2 24 11 40  0
 Toyota    White    CXTG-650 2021  2 24 11 40 20
 Toyota    Silver   BWCF-965 2021  2 24 11 40 40
 Nissan    White    CGWF-813 2021  2 24 11 41  0
 Jaguar    Red      BTZB-304 2021  2 24 11 41 20
 M Benz    beige    BCZZ-380 2021  2 24 11 41 40
 BMW       beige    BEFX-975 2021  2 24 11 42  0
 GM        Black    BUXB-955 2021  2 24 11 42 20
 L Rover   Gray     ALEU-198 2021  2 24 11 42 40
 Volvo     Black    ALEM-521 2021  2 24 11 43  0
 Dodge     Silver   CRXH-834 2021  2 24 11 43 20
 L Rover   Green    AZBD-568 2021  2 24 11 43 40
 M Benz    Black    ACXF-414 2021  2 24 11 44  0
 L Rover   Red      BEMU-454 2021  2 24 11 44 20
 Volvo     Blue     CANL-961 2021  2 24 11 44 40
 Jaguar    Blue     AHHB-536 2021  2 24 11 45  0
 Toyota    White    AHRX-782 2021  2 24 11 45 20
 Ford      Blue     AFAD-972 2021  2 24 11 45 40
 Dodge     Red      CKLT-971 2021  2 24 11 46  0
 Hyundai   Red      AWWZ-452 2021  2 24 11 46 20
 M Benz    White    BWXZ-913 2021  2 24 11 46 40
 VW        beige    BCHT-887 2021  2 24 11 47  0
 Honda     Gray     BHUZ-447 2021  2 24 11 47 20
 GM        Blue     BMMU-636 2021  2 24 11 47 40
 Ford      Blue     BGXG-589 2021  2 24 11 48  0
 Mitsub    beige    AKRF-637 2021  2 24 11 48 20
 Nissan    beige    CENR-113 2021  2 24 11 48 40
 Volvo     Black    AEXD-380 2021  2 24 11 49  0
 BMW       beige    BKJK-277 2021  2 24 11 49 20
 Mitsub    beige    AGUC-594 2021  2 24 11 49 40
 Toyota    Red      BEDR-221 2021  2 24 11 50  0
 M Benz    White    BEFL-256 2021  2 24 11 50 20
 Hyundai   Gray     BXXG-593 2021  2 24 11 50 40
 Dodge     beige    AFHT-240 2021  2 24 11 51  0
 Volvo     Blue     ARFJ-696 2021  2 24 11 51 20
 Mitsub    Green    AHUX-626 2021  2 24 11 51 40
 Toyota    Red      CWMH-334 2021  2 24 11 52  0
 M Benz    Black    CWJF-532 2021  2 24 11 52 20
 Nissan    Gray     BHTU-608 2021  2 24 11 52 40
 VW        Black    BKGU-820 2021  2 24 11 53  0
 Mitsub    White    AELK-382 2021  2 24 11 53 20
 Fiat      Red      BXWE-319 2021  2 24 11 53 40
 Toyota    Red      ACRL-224 2021  2 24 11 54  0
 L Rover   White    AFZA-818 2021  2 24 11 54 20
 Toyota    beige    CABT-800 2021  2 24 11 54 40
 Mazda     beige    CZCN-448 2021  2 24 11 55  0
 Dodge     Blue     CEBE-716 2021  2 24 11 55 20
 L Rover   White    CGUU-380 2021  2 24 11 55 40
 Fiat      Red      CKBL-246 2021  2 24 11 56  0
 BMW       Silver   ADKF-700 2021  2 24 11 56 20
 Fiat      Black    ADEZ-292 2021  2 24 11 56 40
 Jaguar    Black    BXCT-701 2021  2 24 11 57  0
 Volvo     Red      BRHE-895 2021  2 24 11 57 20
 Volvo     Red      ANBT-986 2021  2 24 11 57 40
 VW        Silver   BZBX-546 2021  2 24 11 58  0
 Mitsub    Blue     AEKX-754 2021  2 24 11 58 20
 L Rover   Red      AAKK-810 2021  2 24 11 58 40
 Nissan    beige    CGMU-255 2021  2 24 11 59  0
 Volvo     Gray     BEXD-993 2021  2 24 11 59 20
 Hyundai   Blue     ACCT-414 2021  2 24 11 59 40
 BMW       Black    CMDB-328 2021  2 24 12  0  0
 Volvo     Green    AFMT-566 2021  2 24 12  0 20
 GM        beige    AHFH-511 2021  2 24 12  0 40
 Mazda     Silver   CZUE-646 2021  2 24 12  1  0
 GM        Black    CGUR-730 2021  2 24 12  1 20
 VW        Red      ACHZ-312 2021  2 24 12  1 40
 Mitsub    White    AWTU-910 2021  2 24 12  2  0
 Honda     beige    BTBE-515 2021  2 24 12  2 20
 Volvo     Gray     ACEE-181 2021  2 24 12  2 40
 Jaguar    Blue     CKFK-933 2021  2 24 12  3  0
 GM        Black    CXJG-410 2021  2 24 12  3 20
 Toyota    Blue     BFZK-725 2021  2 24 12  3 40
 Toyota    Gray     AHMW-919 2021  2 24 12  4  0
 Mazda     Silver   BFTZ-427 2021  2 24 12  4 20
 Jaguar    Red      CEMF-227 2021  2 24 12  4 40
 M Benz    Gray     BRJD-958 2021  2 24 12  5  0
 Honda     Red      CDKH-945 2021  2 24 12  5 20
 Honda     Gray     BGXR-847 2021  2 24 12  5 40
 Toyota    Red      CNEF-537 2021  2 24 12  6  0
 Honda     Red      CXZH-791 2021  2 24 12  6 20
 Toyota    Silver   ARFE-341 2021  2 24 12  6 40
 Honda     Blue     CZRD-567 2021  2 24 12  7  0
 Jaguar    Gray     CMDZ-648 2021  2 24 12  7 20
 Ford      Red      CUEE-638 2021  2 24 12  7 40
 Volvo     Silver   CCHE-361 2021  2 24 12  8  0
 Toyota    Silver   BMDE-157 2021  2 24 12  8 20
 Toyota    Gray     ABJA-263 2021  2 24 12  8 40
 Toyota    Green    CZCA-123 2021  2 24 12  9  0
 Honda     Blue     BJDJ-725 2021  2 24 12  9 20
 Mitsub    Silver   AWXG-973 2021  2 24 12  9 40
 GM        White    BUAM-993 2021  2 24 12 10  0
 Dodge     Silver   AGLF-741 2021  2 24 12 10 20
 Subaru    Silver   AUUE-763 2021  2 24 12 10 40
 L Rover   beige    CZTW-422 2021  2 24 12 11  0
 Toyota    White    AJZM-127 2021  2 24 12 11 20
 BMW       Blue     CHWW-539 2021  2 24 12 11 40
 M Benz    White    BMMN-458 2021  2 24 12 12  0
 Jaguar    Silver   CEAT-425 2021  2 24 12 12 20
 Mitsub    Silver   AUXZ-943 2021  2 24 12 12 40
 Dodge     Red      CLWE-809 2021  2 24 12 13  0
 Subaru    Black    CCHA-569 2021  2 24 12 13 20
 M Benz    Silver   AZXU-189 2021  2 24 12 13 40
 Dodge     Black    AXXC-891 2021  2 24 12 14  0
 Fiat      Green    CCKT-961 2021  2 24 12 14 20
 Volvo     beige    CMNM-153 2021  2 24 12 14 40
 VW        White    CHGC-776 2021  2 24 12 15  0
 Toyota    Blue     CNKU-906 2021  2 24 12 15 20
 VW        Green    ACJU-718 2021  2 24 12 15 40
 Honda     White    AGEH-285 2021  2 24 12 16  0
 Subaru    Gray     AJJA-251 2021  2 24 12 16 20
 BMW       beige    AGMK-859 2021  2 24 12 16 40
 Nissan    beige    ARZJ-523 2021  2 24 12 17  0
 GM        Black    AXET-384 2021  2 24 12 17 20
 Subaru    White    CBTF-721 2021  2 24 12 17 40
 BMW       White    BFCL-405 2021  2 24 12 18  0
 Dodge     Black    BRWH-731 2021  2 24 12 18 20
 Hyundai   Black    CHXN-451 2021  2 24 12 18 40
 Ford      Gray     BRMX-784 2021  2 24 12 19  0
 Toyota    beige    CWKW-718 2021  2 24 12 19 20
 Mazda     Silver   ADMD-716 2021  2 24 12 19 40
 Nissan    Red      AEXC-309 2021  2 24 12 20  0
 Honda     Blue     AKEL-435 2021  2 24 12 20 20
 VW        Gray     CXWB-844 2021  2 24 12 20 40
 Subaru    Silver   AJFM-429 2021  2 24 12 21  0
 M Benz    Red      CLNG-180 2021  2 24 12 21 20
 Subaru    Gray     BALG-128 2021  2 24 12 21 40
 Dodge     Red      BUDT-544 2021  2 24 12 22  0
 L Rover   Black    CZZK-701 2021  2 24 12 22 20
 Subaru    Red      CKEJ-664 2021  2 24 12 22 40
 VW        Green    CMBH-531 2021  2 24 12 23  0
 VW        Blue     BLGL-191 2021  2 24 12 23 20
 Mitsub    Green    BJKH-243 2021  2 24 12 23 40
 Volvo     Blue     BMMM-740 2021  2 24 12 24  0
 L Rover   Gray     AAHW-888 2021  2 24 12 24 20
 Volvo     Green    CNUC-261 2021  2 24 12 24 40
 Honda     Green    BUEW-956 2021  2 24 12 25  0
 Hyundai   White    AUUR-309 2021  2 24 12 25 20
 L Rover   Black    AHWN-403 2021  2 24 12 25 40
 Mitsub    beige    CFMU-139 2021  2 24 12 26  0
 Ford      Blue     BHRX-551 2021  2 24 12 26 20
 Toyota    Red      AXKE-470 2021  2 24 12 26 40
 Dodge     Red      CCFU-785 2021  2 24 12 27  0
 Mitsub    White    CDAA-201 2021  2 24 12 27 20
 Nissan    Blue     ARGK-341 2021  2 24 12 27 40
 Dodge     Silver   CBZH-817 2021  2 24 12 28  0
 Volvo     Gray     BLAM-315 2021  2 24 12 28 20
 Nissan    White    AUBF-507 2021  2 24 12 28 40
 Subaru    Silver   AAJF-352 2021  2 24 12 29  0
 Jaguar    Blue     CKWB-710 2021  2 24 12 29 20
 Volvo     Gray     BAMG-212 2021  2 24 12 29 40
 Toyota    beige    AHKJ-675 2021  2 24 12 30  0
 Dodge     Blue     CFKK-147 2021  2 24 12 30 20
 BMW       beige    AWNK-751 2021  2 24 12 30 40
 Fiat      Gray     AEKC-335 2021  2 24 12 31  0
 Subaru    White    CKWE-213 2021  2 24 12 31 20
 GM        Green    ABFX-567 2021  2 24 12 31 40
 M Benz    Blue     BUEM-996 2021  2 24 12 32  0
 L Rover   Black    BWCD-937 2021  2 24 12 32 20
 Mitsub    beige    CBHR-135 2021  2 24 12 32 40
 M Benz    beige    BEMX-676 2021  2 24 12 33  0
 Hyundai   Black    AEHE-310 2021  2 24 12 33 20
 Dodge     White    CMFX-909 2021  2 24 12 33 40
 M Benz    beige    BUXM-488 2021  2 24 12 34  0
 Volvo     beige    BGMW-514 2021  2 24 12 34 20
 Ford      beige    AEKU-503 2021  2 24 12 34 40
 Honda     White    AGWR-694 2021  2 24 12 35  0
 Dodge     Gray     AJKM-529 2021  2 24 12 35 20
 BMW       Green    AEDR-597 2021  2 24 12 35 40
 Mitsub    White    CCWR-260 2021  2 24 12 36  0
 Subaru    Blue     CNRZ-164 2021  2 24 12 36 20
 Jaguar    Blue     ACZZ-887 2021  2 24 12 36 40
 Toyota    White    BRBL-595 2021  2 24 12 37  0
 GM        Silver   BCEA-799 2021  2 24 12 37 20
 Fiat      Blue     BAXH-479 2021  2 24 12 37 40
 Hyundai   beige    CDTU-797 2021  2 24 12 38  0
 Toyota    beige    BLFT-216 2021  2 24 12 38 20
 Toyota    Black    ATJC-155 2021  2 24 12 38 40
 M Benz    Blue     BCMJ-202 2021  2 24 12 39  0
 Volvo     Red      CFRT-914 2021  2 24 12 39 20
 Hyundai   beige    CRXX-503 2021  2 24 12 39 40
 Nissan    Black    CBGA-463 2021  2 24 12 40  0
 Jaguar    Red      BBMG-186 2021  2 24 12 40 20
 Volvo     beige    AFDA-603 2021  2 24 12 40 40
 Volvo     Black    CCBG-867 2021  2 24 12 41  0
 Hyundai   Red      AXEA-687 2021  2 24 12 41 20
 Toyota    Green    AXEN-335 2021  2 24 12 41 40
 VW        Red      CEWN-675 2021  2 24 12 42  0
 Honda     Silver   CRGT-373 2021  2 24 12 42 20
 VW        Blue     BUCD-790 2021  2 24 12 42 40
 Dodge     Blue     BJDB-207 2021  2 24 12 43  0
 GM        Red      ANNM-137 2021  2 24 12 43 20
 Subaru    beige    CWLD-797 2021  2 24 12 43 40
 Hyundai   White    BGUG-978 2021  2 24 12 44  0
 Honda     Green    ALBX-754 2021  2 24 12 44 20
 Hyundai   beige    CBLM-383 2021  2 24 12 44 40
 Dodge     Red      BUMB-163 2021  2 24 12 45  0
 Nissan    Green    CGKD-210 2021  2 24 12 45 20
 Jaguar    Silver   BBZJ-791 2021  2 24 12 45 40
 M Benz    White    CKEW-864 2021  2 24 12 46  0
 BMW       Green    CEAM-146 2021  2 24 12 46 20
 Nissan    Gray     AJCR-704 2021  2 24 12 46 40
 Fiat      Silver   BHAW-965 2021  2 24 12 47  0
 GM        Gray     AGJL-646 2021  2 24 12 47 20
 Toyota    Green    BFZN-458 2021  2 24 12 47 40
 Fiat      Red      AHRT-200 2021  2 24 12 48  0
 Nissan    Silver   ATTU-644 2021  2 24 12 48 20
 Subaru    Silver   CADU-120 2021  2 24 12 48 40
 Mazda     White    BRHX-530 2021  2 24 12 49  0
 Honda     White    AUCJ-712 2021  2 24 12 49 20
 Nissan    White    CEEB-591 2021  2 24 12 49 40
 Dodge     Black    AHDW-920 2021  2 24 12 50  0
 Volvo     Green    BUMN-525 2021  2 24 12 50 20
 Subaru    Blue     AKDZ-789 2021  2 24 12 50 40
 Jaguar    Silver   CLTH-414 2021  2 24 12 51  0
 Mitsub    Red      BTKH-451 2021  2 24 12 51 20
 M Benz    White    CKHW-331 2021  2 24 12 51 40
 Ford      White    CZKJ-729 2021  2 24 12 52  0
 BMW       Silver   BHET-968 2021  2 24 12 52 20
 Nissan    Red      AAHC-584 2021  2 24 12 52 40
 Honda     Green    CARZ-987 2021  2 24 12 53  0
 Mazda     Black    CKFH-127 2021  2 24 12 53 20
 Dodge     Gray     AEAT-699 2021  2 24 12 53 40
 M Benz    Blue     BCFU-880 2021  2 24 12 54  0
 BMW       White    CXUZ-619 2021  2 24 12 54 20
 L Rover   beige    CJWX-965 2021  2 24 12 54 40
 Hyundai   beige    CRCB-210 2021  2 24 12 55  0
 Fiat      Black    BXBC-545 2021  2 24 12 55 20
 Ford      Silver   AGJA-474 2021  2 24 12 55 40
 Dodge     Blue     BWBK-240 2021  2 24 12 56  0
 Jaguar    Gray     AXRN-951 2021  2 24 12 56 20
 VW        Blue     BRWW-314 2021  2 24 12 56 40
 L Rover   Black    ADCW-938 2021  2 24 12 57  0
 Subaru    Red      CDJW-228 2021  2 24 12 57 20
 Nissan    Silver   CELX-955 2021  2 24 12 57 40
 Toyota    Silver   AFJT-524 2021  2 24 12 58  0
 Jaguar    Black    ADWW-204 2021  2 24 12 58 20
 M Benz    Red      BUEA-825 2021  2 24 12 58 40
 Honda     Silver   BHDX-231 2021  2 24 12 59  0
 Mazda     White    AJZX-149 2021  2 24 12 59 20
 Volvo     beige    CMHF-160 2021  2 24 12 59 40
 Honda     Black    CMZG-192 2021  2 24 13  0  0
 Toyota    White    AATT-124 2021  2 24 13  0 20
 Mitsub    White    AMKK-687 2021  2 24 13  0 40
 Toyota    Green    CTFR-922 2021  2 24 13  1  0
 GM        beige    AHEA-271 2021  2 24 13  1 20
 Nissan    Blue     BCUR-746 2021  2 24 13  1 40
 BMW       Gray     BBEB-786 2021  2 24 13  2  0
 BMW       Blue     AKZR-467 2021  2 24 13  2 20
 Hyundai   Silver   BEAL-893 2021  2 24 13  2 40
 Dodge     Gray     AMUG-471 2021  2 24 13  3  0
 Volvo     Green    ABCJ-530 2021  2 24 13  3 20
 GM        White    AAZB-955 2021  2 24 13  3 40
 VW        Blue     CTXM-539 2021  2 24 13  4  0
 VW        Silver   BMRZ-847 2021  2 24 13  4 20
 Honda     beige    BATW-311 2021  2 24 13  4 40
 M Benz    Black    AKEC-511 2021  2 24 13  5  0
 Nissan    Silver   BGME-902 2021  2 24 13  5 20
 Ford      Black    AFLC-705 2021  2 24 13  5 40
 VW        Silver   CBMR-914 2021  2 24 13  6  0
 Ford      White    BZMZ-145 2021  2 24 13  6 20
 Ford      Silver   AWMT-595 2021  2 24 13  6 40
 Mazda     beige    AWUT-752 2021  2 24 13  7  0
 Hyundai   Gray     ACGC-649 2021  2 24 13  7 20
 BMW       Blue     BRLJ-418 2021  2 24 13  7 40
 L Rover   beige    ARTE-114 2021  2 24 13  8  0
 Toyota    Red      BGZW-497 2021  2 24 13  8 20
 Honda     Blue     AGCD-335 2021  2 24 13  8 40
 Fiat      Green    CFFL-793 2021  2 24 13  9  0
 Mazda     Red      AMKE-886 2021  2 24 13  9 20
 Subaru    Blue     BRRF-182 2021  2 24 13  9 40
 Honda     Gray     CGRJ-336 2021  2 24 13 10  0
 Mazda     Black    BBZD-190 2021  2 24 13 10 20
 BMW       Gray     ALMH-615 2021  2 24 13 10 40
 BMW       Blue     AEDA-890 2021  2 24 13 11  0
 VW        Black    BGJU-834 2021  2 24 13 11 20
 Fiat      Gray     BDTB-192 2021  2 24 13 11 40
 Subaru    beige    CHGF-187 2021  2 24 13 12  0
 Fiat      Green    BNXL-922 2021  2 24 13 12 20
 Mitsub    Gray     CUKU-730 2021  2 24 13 12 40
 Mazda     Green    CATD-608 2021  2 24 13 13  0
 Jaguar    White    CZLE-129 2021  2 24 13 13 20
 Mitsub    Gray     ALCJ-237 2021  2 24 13 13 40
 Mitsub    White    BLWK-765 2021  2 24 13 14  0
 Hyundai   Green    BFWB-654 2021  2 24 13 14 20
 Ford      White    BCCX-409 2021  2 24 13 14 40
 Hyundai   Black    CZGB-905 2021  2 24 13 15  0
 Ford      White    BABL-927 2021  2 24 13 15 20
 Subaru    White    ATRW-333 2021  2 24 13 15 40
 Mazda     Gray     AGJB-717 2021  2 24 13 16  0
 BMW       White    CCNW-418 2021  2 24 13 16 20
 Nissan    Black    AFEF-640 2021  2 24 13 16 40
 Nissan    Gray     BGTH-487 2021  2 24 13 17  0
 Subaru    White    ABKX-331 2021  2 24 13 17 20
 Hyundai   Silver   AKNH-449 2021  2 24 13 17 40
 VW        beige    BEXH-443 2021  2 24 13 18  0
 Ford      White    BKUC-293 2021  2 24 13 18 20
 Mitsub    beige    CAAU-795 2021  2 24 13 18 40
 Nissan    beige    ADRZ-622 2021  2 24 13 19  0
 M Benz    Gray     CGGX-384 2021  2 24 13 19 20
 VW        beige    BTZF-785 2021  2 24 13 19 40
 Dodge     Green    CFGR-274 2021  2 24 13 20  0
 Ford      beige    ALUJ-673 2021  2 24 13 20 20
 Mazda     beige    AMUH-907 2021  2 24 13 20 40
 Ford      Gray     BNXJ-674 2021  2 24 13 21  0
 GM        Gray     AFLD-356 2021  2 24 13 21 20
 M Benz    Blue     BMAD-534 2021  2 24 13 21 40
 Fiat      Silver   AEMC-475 2021  2 24 13 22  0
 Hyundai   Blue     BJCK-616 2021  2 24 13 22 20
 Volvo     White    AUND-654 2021  2 24 13 22 40
 Mitsub    beige    BEKZ-838 2021  2 24 13 23  0
 Mitsub    Blue     AWED-276 2021  2 24 13 23 20
 Toyota    Green    BUDX-519 2021  2 24 13 23 40
 Mazda     Silver   BTHA-988 2021  2 24 13 24  0
 M Benz    Black    CRKJ-448 2021  2 24 13 24 20
 Mitsub    beige    AUHA-392 2021  2 24 13 24 40
 Mazda     Black    BWKX-333 2021  2 24 13 25  0
 Nissan    Silver   CKGE-261 2021  2 24 13 25 20
 BMW       Gray     CWEK-706 2021  2 24 13 25 40
 M Benz    White    AHLJ-317 2021  2 24 13 26  0
 M Benz    White    ARGT-818 2021  2 24 13 26 20
 Toyota    Black    CNMX-259 2021  2 24 13 26 40
 Nissan    White    AERG-741 2021  2 24 13 27  0
 Mazda     Black    BRWA-245 2021  2 24 13 27 20
 Mitsub    Green    CJFL-417 2021  2 24 13 27 40
 Ford      Blue     BTHE-461 2021  2 24 13 28  0
 L Rover   Blue     BEWR-395 2021  2 24 13 28 20
 Ford      Black    CFRR-740 2021  2 24 13 28 40
 Toyota    Black    BRAD-765 2021  2 24 13 29  0
 Honda     beige    AGCG-614 2021  2 24 13 29 20
 M Benz    Green    ACHR-900 2021  2 24 13 29 40
 Hyundai   White    CTBA-935 2021  2 24 13 30  0
 Mazda     Black    BZXB-924 2021  2 24 13 30 20
 Mitsub    Silver   BWHX-582 2021  2 24 13 30 40
 GM        Gray     BXRE-736 2021  2 24 13 31  0
 Mitsub    Green    BNZT-748 2021  2 24 13 31 20
 L Rover   beige    BGMF-673 2021  2 24 13 31 40
 L Rover   Gray     CEDH-792 2021  2 24 13 32  0
 M Benz    Silver   ADWK-527 2021  2 24 13 32 20
 Honda     beige    BJZG-286 2021  2 24 13 32 40
 M Benz    Red      BEFL-816 2021  2 24 13 33  0
 Mazda     White    BRNN-963 2021  2 24 13 33 20
 BMW       Gray     CMMR-586 2021  2 24 13 33 40
 Toyota    Silver   ATAZ-443 2021  2 24 13 34  0
 Fiat      White    AKWN-172 2021  2 24 13 34 20
 Mitsub    Black    CRWD-724 2021  2 24 13 34 40
 Nissan    White    AANB-796 2021  2 24 13 35  0
 Volvo     Silver   CHNU-902 2021  2 24 13 35 20
 Ford      beige    CTMZ-301 2021  2 24 13 35 40
 Volvo     Gray     BEHE-376 2021  2 24 13 36  0
 Hyundai   Blue     AFMW-836 2021  2 24 13 36 20
 Mazda     Red      CECE-979 2021  2 24 13 36 40
 Nissan    Gray     CMBJ-423 2021  2 24 13 37  0
 Mazda     Green    AUDA-303 2021  2 24 13 37 20
 Mazda     White    AMFF-556 2021  2 24 13 37 40
 GM        Red      ACTD-558 2021  2 24 13 38  0
 BMW       Green    BWWX-829 2021  2 24 13 38 20
 BMW       Black    ARJG-826 2021  2 24 13 38 40
 Hyundai   Blue     ATHG-500 2021  2 24 13 39  0
 Hyundai   Blue     BXZJ-440 2021  2 24 13 39 20
 Jaguar    Silver   CBKG-415 2021  2 24 13 39 40
 Dodge     White    CDZL-530 2021  2 24 13 40  0
 Volvo     White    AGUA-315 2021  2 24 13 40 20
 Ford      Blue     CNTK-991 2021  2 24 13 40 40
 Subaru    Blue     BNXX-167 2021  2 24 13 41  0
 Volvo     White    ARKN-824 2021  2 24 13 41 20
 VW        Red      CGGN-241 2021  2 24 13 41 40
 Mitsub    Red      BFZL-757 2021  2 24 13 42  0
 Fiat      White    BENW-531 2021  2 24 13 42 20
 BMW       Red      BXKK-354 2021  2 24 13 42 40
 Nissan    White    ACJL-966 2021  2 24 13 43  0
 Toyota    Green    BAJZ-980 2021  2 24 13 43 20
 Fiat      beige    CTMW-714 2021  2 24 13 43 40
 Nissan    White    AARN-526 2021  2 24 13 44  0
 BMW       Black    CHXU-638 2021  2 24 13 44 20
 Mitsub    beige    ACWC-875 2021  2 24 13 44 40
 Mazda     Silver   AUDA-256 2021  2 24 13 45  0
 Honda     Black    CGRG-658 2021  2 24 13 45 20
 Nissan    Silver   BNUR-270 2021  2 24 13 45 40
 Dodge     Silver   CEGR-366 2021  2 24 13 46  0
 GM        Red      CMDB-720 2021  2 24 13 46 20
 M Benz    Blue     CRXE-896 2021  2 24 13 46 40
 VW        Silver   BZNJ-219 2021  2 24 13 47  0
 M Benz    Blue     CAWX-711 2021  2 24 13 47 20
 Honda     beige    CAEG-259 2021  2 24 13 47 40
 M Benz    White    AFUW-813 2021  2 24 13 48  0
 BMW       Silver   CKAU-758 2021  2 24 13 48 20
 Mazda     Gray     CHXC-520 2021  2 24 13 48 40
 L Rover   beige    AACL-648 2021  2 24 13 49  0
 GM        Silver   AJXH-375 2021  2 24 13 49 20
 Hyundai   beige    CANU-698 2021  2 24 13 49 40
 Subaru    Black    BLCK-835 2021  2 24 13 50  0
 Toyota    Red      BZBJ-805 2021  2 24 13 50 20
 Mazda     Red      BULT-349 2021  2 24 13 50 40
 Hyundai   Blue     ADCZ-333 2021  2 24 13 51  0
 Dodge     Black    ARJM-296 2021  2 24 13 51 20
 Jaguar    Green    BFBE-855 2021  2 24 13 51 40
 M Benz    White    BGJE-495 2021  2 24 13 52  0
 Dodge     Green    BDTK-171 2021  2 24 13 52 20
 M Benz    Silver   CWWE-507 2021  2 24 13 52 40
 Honda     Blue     BMZH-730 2021  2 24 13 53  0
 Dodge     Green    ADNA-120 2021  2 24 13 53 20
 M Benz    Gray     BEHA-953 2021  2 24 13 53 40
 Jaguar    Silver   BBEH-488 2021  2 24 13 54  0
 Ford      Green    CCDC-515 2021  2 24 13 54 20
 Mitsub    Black    BMNZ-487 2021  2 24 13 54 40
 Fiat      Red      BLZA-168 2021  2 24 13 55  0
 GM        Blue     CTZH-485 2021  2 24 13 55 20
 Toyota    Red      AWGD-361 2021  2 24 13 55 40
 Hyundai   Silver   AFJW-400 2021  2 24 13 56  0
 Toyota    Blue     BABE-343 2021  2 24 13 56 20
 L Rover   Gray     BLXB-185 2021  2 24 13 56 40
 M Benz    beige    BCNE-573 2021  2 24 13 57  0
 M Benz    White    CKMW-889 2021  2 24 13 57 20
 Jaguar    Blue     ALLE-297 2021  2 24 13 57 40
 Honda     Blue     BRZC-532 2021  2 24 13 58  0
 Toyota    Silver   BZBA-988 2021  2 24 13 58 20
 M Benz    Blue     AHGZ-945 2021  2 24 13 58 40
 VW        White    CCEC-736 2021  2 24 13 59  0
 GM        Gray     AWTD-462 2021  2 24 13 59 20
 Hyundai   Green    CBHE-952 2021  2 24 13 59 40
 Toyota    beige    ANKF-762 2021  2 24 14  0  0
 Hyundai   White    CDTJ-222 2021  2 24 14  0 20
 BMW       beige    CZRE-711 2021  2 24 14  0 40
 Mitsub    Silver   BCBA-619 2021  2 24 14  1  0
 Volvo     Blue     CMGA-320 2021  2 24 14  1 20
 Fiat      Silver   ALMU-530 2021  2 24 14  1 40
 Honda     Gray     BLNN-279 2021  2 24 14  2  0
 Toyota    Gray     CDWF-621 2021  2 24 14  2 20
 Fiat      Blue     AHNA-690 2021  2 24 14  2 40
 GM        Blue     CTJM-733 2021  2 24 14  3  0
 Mazda     Blue     AMAM-283 2021  2 24 14  3 20
 Mazda     Silver   CRRJ-403 2021  2 24 14  3 40
 Toyota    Gray     CMKL-254 2021  2 24 14  4  0
 Dodge     Blue     BNBB-647 2021  2 24 14  4 20
 Honda     White    AHCZ-738 2021  2 24 14  4 40
 VW        Silver   CZWW-265 2021  2 24 14  5  0
 Mazda     Gray     BZFG-768 2021  2 24 14  5 20
 Nissan    White    ABDX-709 2021  2 24 14  5 40
 M Benz    Gray     BFET-904 2021  2 24 14  6  0
 L Rover   Silver   AZKL-744 2021  2 24 14  6 20
 Fiat      Gray     BAEA-568 2021  2 24 14  6 40
 L Rover   Blue     BCTF-883 2021  2 24 14  7  0
 Hyundai   Silver   CLED-126 2021  2 24 14  7 20
 Subaru    Gray     ANDF-440 2021  2 24 14  7 40
 Fiat      Green    BBTA-715 2021  2 24 14  8  0
 L Rover   Blue     BRTN-724 2021  2 24 14  8 20
 Fiat      White    ABLW-584 2021  2 24 14  8 40
 GM        Silver   CWWB-415 2021  2 24 14  9  0
 Volvo     Black    AWDW-295 2021  2 24 14  9 20
 Jaguar    Black    AJFM-329 2021  2 24 14  9 40
 Ford      Black    AAXA-588 2021  2 24 14 10  0
 Nissan    Gray     CNTK-818 2021  2 24 14 10 20
 Volvo     White    BMKL-870 2021  2 24 14 10 40
 Mazda     White    CELM-840 2021  2 24 14 11  0
 Subaru    Red      CZUH-558 2021  2 24 14 11 20
 Toyota    White    CWEU-780 2021  2 24 14 11 40
 Nissan    Black    CNDG-457 2021  2 24 14 12  0
 Mazda     Blue     AXGB-285 2021  2 24 14 12 20
 Volvo     Red      CEEA-511 2021  2 24 14 12 40
 Ford      Red      BBNM-243 2021  2 24 14 13  0
 Jaguar    Gray     AFHW-381 2021  2 24 14 13 20
 Mitsub    Green    CTXC-881 2021  2 24 14 13 40
 BMW       Blue     AKDX-391 2021  2 24 14 14  0
 Dodge     Blue     BALM-355 2021  2 24 14 14 20
 Toyota    Gray     BUXK-333 2021  2 24 14 14 40
 L Rover   Silver   CWCM-853 2021  2 24 14 15  0
 Hyundai   Red      CHUM-295 2021  2 24 14 15 20
 Mazda     Green    AFMB-439 2021  2 24 14 15 40
 L Rover   Gray     CRCZ-950 2021  2 24 14 16  0
 Volvo     Gray     CCWT-720 2021  2 24 14 16 20
 VW        Black    ALGN-412 2021  2 24 14 16 40
 M Benz    Blue     BJJF-902 2021  2 24 14 17  0
 Toyota    Silver   CXDM-508 2021  2 24 14 17 20
 Toyota    Black    CEBE-805 2021  2 24 14 17 40
 VW        Black    CXDM-877 2021  2 24 14 18  0
 M Benz    beige    CMJJ-216 2021  2 24 14 18 20
 Volvo     beige    AWKG-223 2021  2 24 14 18 40
 BMW       Blue     BDLL-446 2021  2 24 14 19  0
